iteracao,temperatura,f_atual,f_vizinho,delta,prob_aceitacao,aceite,movimento,melhor_ate_agora
57,8.388,2892,2900,-8,1.0,Sim,Substituição em PL4: 'Pub Feed' → 'O Tempo Passou',2898
58,8.388,2900,2900,0,1.0,Sim,Troca inter-playlist: 'I Ain't Worried' (PL2) ↔ 'La Bachata' (PL4),2900
59,8.388,2900,2900,0,1.0,Sim,Substituição em PL4: 'Zuipen' → 'Ce que tu ne sais pas',2900
60,8.388,2900,2844,56,0.001261,Não,Substituição em PL1: 'Levels - Radio Edit' → 'Buffalo Nickel',2900
61,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'I'm Good (Blue)' (PL2) ↔ 'Super Freaky Girl' (PL4),2900
62,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'Sweater Weather' (PL2) ↔ 'Glimpse of Us' (PL4),2900
63,2.5164,2900,2848,52,0.0,Não,Substituição em PL4: 'Me Porto Bonito' → 'Feed My Hunger (No Shade)',2900
64,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'Levels - Radio Edit' (PL1) ↔ 'Come to House' (PL2),2900
65,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'I'm Good (Blue)' (PL4) ↔ 'As It Was' (PL2),2900
66,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'La Bachata' (PL2) ↔ 'Unholy (feat. Kim Petras)' (PL4),2900
67,2.5164,2900,2849,51,0.0,Não,Substituição em PL4: 'Sweater Weather' → 'There For You',2900
68,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'Roll Your Hands' (PL2) ↔ 'I Ain't Worried' (PL4),2900
69,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'Alien Blues' (PL4) ↔ 'Sunsetz' (PL1),2900
70,2.5164,2900,2900,0,1.0,Sim,Troca inter-playlist: 'Neverita' (PL2) ↔ 'As It Was' (PL4),2900
71,2.5164,2900,2841,59,0.0,Não,Substituição em PL2: 'Hands Up - Single Version' → 'Yathra',2900
72,2.5164,2900,2898,2,0.451678,Sim,Substituição em PL4: 'O Tempo Passou' → 'Winter Bear',2900
73,2.5164,2898,2868,30,7e-06,Não,Substituição em PL2: 'Hands Up - Single Version' → 'Beynim Yok',2900
74,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Las Frutas' (PL3) ↔ 'Ce que tu ne sais pas' (PL4),2900
75,2.5164,2898,2867,31,4e-06,Não,Substituição em PL4: 'Sunsetz' → 'Rajvaadi Odhni',2900
76,2.5164,2898,2894,4,0.204013,Não,Substituição em PL3: 'Ce que tu ne sais pas' → 'Les voyages immobiles - 2016 Remastered',2900
77,2.5164,2898,2834,64,0.0,Não,Substituição em PL2: 'Levels - Radio Edit' → 'Party - Video Mix',2900
78,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Las Frutas' (PL4) ↔ 'Ce que tu ne sais pas' (PL3),2900
79,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Las Frutas' (PL3) ↔ 'Ce que tu ne sais pas' (PL4),2900
80,2.5164,2898,2839,59,0.0,Não,Substituição em PL1: 'i was all over her' → 'Melodische Schieflage - Techno Minimal Bomb Mix',2900
81,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Alien Blues' (PL1) ↔ 'Sunsetz' (PL4),2900
82,2.5164,2898,2878,20,0.000353,Não,Substituição em PL3: 'Wish You Were Here' → 'REBELS NEVER DIE',2900
83,2.5164,2898,2877,21,0.000238,Não,Substituição em PL4: 'Sweater Weather' → 'The Drug In Me Is You',2900
84,2.5164,2898,2867,31,4e-06,Não,Substituição em PL4: 'La Bachata' → 'The Brightside',2900
85,2.5164,2898,2833,65,0.0,Não,Substituição em PL4: 'Sweater Weather' → 'No Tengo Dinero - En Vivo',2900
86,2.5164,2898,2822,76,0.0,Não,Substituição em PL2: 'Glimpse of Us' → 'Mi Tango Triste',2900
87,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Winter Bear' (PL4) ↔ 'i was all over her' (PL1),2900
88,2.5164,2898,2822,76,0.0,Não,Substituição em PL4: 'Sweater Weather' → 'What the Fuck?',2900
89,2.5164,2898,2849,49,0.0,Não,Substituição em PL2: 'Unholy (feat. Kim Petras)' → 'Distance',2900
90,2.5164,2898,2887,11,0.012634,Não,Substituição em PL4: 'Roll Your Hands' → 'Everything About You',2900
91,2.5164,2898,2835,63,0.0,Não,Substituição em PL4: 'Sweater Weather' → 'Sukoon',2900
92,2.5164,2898,2898,0,1.0,Sim,"Troca inter-playlist: 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL4) ↔ 'I Ain't Worried' (PL2)",2900
93,2.5164,2898,2898,0,1.0,Sim,Troca inter-playlist: 'Ce que tu ne sais pas' (PL3) ↔ 'Alien Blues' (PL4),2900
